charges,Erin_charges,Count,Craig_charges,Craig_edit,2C_added
2C:29-2A(3)(A); 2C:12-1B,2C:29-2A(3)(A); 2C:12-1B,1,2C:29-2A(3)(A); 2C:12-1B,2C:29-2A(3)(A); 2C:12-1B,2C:29-2A(3)(A); 2C:12-1B
2C:29-2A(3)(A); 2C:12-1B(5)(A); ET AL.,2C:29-2A(3)(A); 2C:12-1B(5)(A); ET AL.,1,2C:29-2A(3)(A); 2C:12-1B(5)(A); ET AL.,2C:29-2A(3)(A); 2C:12-1B(5)(A); ET AL.,2C:29-2A(3)(A); 2C:12-1B(5)(A); ET AL.
2C:29-2A(3)(A)/2C:12-1B(5)(A),2C:29-2A(3)(A)/2C:12-1B(5)(A),1,2C:29-2A(3)(A)/2C:12-1B(5)(A),2C:29-2A(3)(A)/2C:12-1B(5)(A),2C:29-2A(3)(A)/2C:12-1B(5)(A)
2C:29-2A(3)(B) ELUDING - SUBSTANTIAL RISK OF PHYSICAL INJURY,2C:29-2A(3)(B) ELUDING - SUBSTANTIAL RISK OF PHYSICAL INJURY,1,2C:29-2A(3)(B) ELUDING - SUBSTANTIAL RISK OF PHYSICAL INJURY,2C:29-2A(3)(B) ELUDING - SUBSTANTIAL RISK OF PHYSICAL INJURY,2C:29-2A(3)(B) ELUDING - SUBSTANTIAL RISK OF PHYSICAL INJURY
2C:29-2A(3)(B)/ 2C:29-2A2,2C:29-2A(3)(B)/ 2C:29-2A2,1,2C:29-2A(3)(B)/ 2C:29-2A2,2C:29-2A(3)(B)/ 2C:29-2A2,2C:29-2A(3)(B)/ 2C:29-2A2
2C:29-2A(3)(B)/2C:33-2A(2),2C:29-2A(3)(B)/2C:33-2A(2),1,2C:29-2A(3)(B)/2C:33-2A(2),2C:29-2A(3)(B)/2C:33-2A(2),2C:29-2A(3)(B)/2C:33-2A(2)
2C:29-2A(3)(D),2C:29-2A(3)(D),1,2C:29-2A(3)(D),2C:29-2A(3)(D),2C:29-2A(3)(D)
2C:29-2A(3)(N),2C:29-2A(3)(N),1,2C:29-2A(3)(N),2C:29-2A(3)(N),2C:29-2A(3)(N)
2C:29-2A(3)/ 2C:33-2A(1),2C:29-2A(3)/ 2C:33-2A(1),1,2C:29-2A(3)/ 2C:33-2A(1),2C:29-2A(3)/ 2C:33-2A(1),2C:29-2A(3)/ 2C:33-2A(1)
2C:29-2A(3)/2C:18-3B,2C:29-2A(3)/2C:18-3B,1,2C:29-2A(3)/2C:18-3B,2C:29-2A(3)/2C:18-3B,2C:29-2A(3)/2C:18-3B
2C:29-2A(3)/2C:29-1A,2C:29-2A(3)/2C:29-1A,1,2C:29-2A(3)/2C:29-1A,2C:29-2A(3)/2C:29-1A,2C:29-2A(3)/2C:29-1A
2C:29-2A(3)/2C:33-2A(1),2C:29-2A(3)/2C:33-2A(1),1,2C:29-2A(3)/2C:33-2A(1),2C:29-2A(3)/2C:33-2A(1),2C:29-2A(3)/2C:33-2A(1)
2C:29-2A(3)/2C:33-2A(1)/2C:29-1A,2C:29-2A(3)/2C:33-2A(1)/2C:29-1A,1,2C:29-2A(3)/2C:33-2A(1)/2C:29-1A,2C:29-2A(3)/2C:33-2A(1)/2C:29-1A,2C:29-2A(3)/2C:33-2A(1)/2C:29-1A
2C:29-2A(3)/39:4-50/2C:29-1A,2C:29-2A(3)/39:4-50/2C:29-1A,1,2C:29-2A(3)/39:4-50/2C:29-1A,2C:29-2A(3)/39:4-50/2C:29-1A,2C:29-2A(3)/39:4-50/2C:29-1A
2C:29-2A(3)A/2C:29-1A/2C:35-10A(1),2C:29-2A(3)A/2C:29-1A/2C:35-10A(1),1,2C:29-2A(3)A/2C:29-1A/2C:35-10A(1),2C:29-2A(3)A/2C:29-1A/2C:35-10A(1),2C:29-2A(3)A/2C:29-1A/2C:35-10A(1)
2C:29-2A(3)A1,2C:29-2A(3)A1,1,2C:29-2A(3)A1,2C:29-2A(3)A1,2C:29-2A(3)A1
2C:29-2A(3A); 2C:36-2,2C:29-2A(3A); 2C:36-2,1,2C:29-2A(3A); 2C:36-2,2C:29-2A(3A) & 2C:36-2,2C:29-2A(3A) & 2C:36-2
2C:29-2A3A / 2C:36-2,2C:29-2A3A / 2C:36-2,1,2C:29-2A3A / 2C:36-2,2C:29-2A(3A) & 2C:36-2,2C:29-2A(3A) & 2C:36-2
2C:29-2A(3A)(A),2C:29-2A(3A)(A),1,2C:29-2A(3A)(A),2C:29-2A(3A)(A),2C:29-2A(3A)(A)
2C:29-2A(3B) 12-1A,2C:29-2A(3B) 12-1A,1,2C:29-2A(3B) 12-1A,2C:29-2A(3B) 12-1A,2C:29-2A(3B) 12-1A
2C:29-2A(B) ETC,2C:29-2A(B) ETC,1,2C:29-2A(B) ETC,2C:29-2A(B) ETC,2C:29-2A(B) ETC
2C:29-2A(ILLEGILBE)(B),2C:29-2A(ILLEGILBE)(B),1,2C:29-2A(ILLEGILBE)(B),2C:29-2A(ILLEGILBE)(B),2C:29-2A(ILLEGILBE)(B)
2C:29-2A(RESISTING),2C:29-2A(RESISTING),1,2C:29-2A(RESISTING),2C:29-2A(RESISTING),2C:29-2A(RESISTING)
2C:29-2A/ 21-6ILLEGIBLE/ 20-2B/ 20-3/ 21-19/ 8-2,2C:29-2A/ 21-6ILLEGIBLE/ 20-2B/ 20-3/ 21-19/ 8-2,1,2C:29-2A/ 21-6ILLEGIBLE/ 20-2B/ 20-3/ 21-19/ 8-2,2C:29-2A/ 21-6ILLEGIBLE/ 20-2B/ 20-3/ 21-19/ 8-2,2C:29-2A/ 21-6ILLEGIBLE/ 20-2B/ 20-3/ 21-19/ 8-2
2C:29-2A/ 2C:35-10.A.1/ 2C:29,2C:29-2A/ 2C:35-10.A.1/ 2C:29,1,2C:29-2A/ 2C:35-10.A.1/ 2C:29,2C:29-2A/ 2C:35-10.A.1/ 2C:29,2C:29-2A/ 2C:35-10.A.1/ 2C:29
2C:29-2A/ 2C:36-6/ 2C:36-2,2C:29-2A/ 2C:36-6/ 2C:36-2,1,2C:29-2A/ 2C:36-6/ 2C:36-2,2C:29-2A/ 2C:36-6/ 2C:36-2,2C:29-2A/ 2C:36-6/ 2C:36-2
2C:29-2A/ 33-2A/ 12-1A,2C:29-2A/ 33-2A/ 12-1A,1,2C:29-2A/ 33-2A/ 12-1A,2C:29-2A/ 33-2A/ 12-1A,2C:29-2A/ 33-2A/ 12-1A
2C:29-2A/2C:12-1,2C:29-2A/2C:12-1,1,2C:29-2A/2C:12-1,2C:29-2A/2C:12-1,2C:29-2A/2C:12-1
2C:29-2A/2C:12-1B.5A/2C:33-2A,2C:29-2A/2C:12-1B.5A/2C:33-2A,1,2C:29-2A/2C:12-1B.5A/2C:33-2A,2C:29-2A/2C:12-1B.5A/2C:33-2A,2C:29-2A/2C:12-1B.5A/2C:33-2A
2C:29-2A/2C:12-1B5A/2C:12-13/2C:17-3,2C:29-2A/2C:12-1B5A/2C:12-13/2C:17-3,1,2C:29-2A/2C:12-1B5A/2C:12-13/2C:17-3,2C:29-2A/2C:12-1B5A/2C:12-13/2C:17-3,2C:29-2A/2C:12-1B5A/2C:12-13/2C:17-3
2C:29-2A/2C:18-2,2C:29-2A/2C:18-2,1,2C:29-2A/2C:18-2,2C:29-2A/2C:18-2,2C:29-2A/2C:18-2
2C:29-2A/2C:29-1,2C:29-2A/2C:29-1,1,2C:29-2A/2C:29-1,2C:29-2A/2C:29-1,2C:29-2A/2C:29-1
2C:29-2A/2C:29-1/2C:35-10A(4),2C:29-2A/2C:29-1/2C:35-10A(4),1,2C:29-2A/2C:29-1/2C:35-10A(4),2C:29-2A/2C:29-1/2C:35-10A(4),2C:29-2A/2C:29-1/2C:35-10A(4)
2C:29-2A/2C:29-1A/2C:10-1C,2C:29-2A/2C:29-1A/2C:10-1C,1,2C:29-2A/2C:29-1A/2C:10-1C,2C:29-2A/2C:29-1A/2C:10-1C,2C:29-2A/2C:29-1A/2C:10-1C
2C:29-2A/2C:36-6/ 2C:36-2,2C:29-2A/2C:36-6/ 2C:36-2,1,2C:29-2A/2C:36-6/ 2C:36-2,2C:29-2A/2C:36-6/ 2C:36-2,2C:29-2A/2C:36-6/ 2C:36-2
2C:29-2A/39:4-50,2C:29-2A/39:4-50,1,2C:29-2A/39:4-50,2C:29-2A/39:4-50,2C:29-2A/39:4-50
2C:29-2A/39:4-50/39:4-51,2C:29-2A/39:4-50/39:4-51,1,2C:29-2A/39:4-50/39:4-51,2C:29-2A/39:4-50/39:4-51,2C:29-2A/39:4-50/39:4-51
2C:29-2A/B/2C:18-2,2C:29-2A/B/2C:18-2,1,2C:29-2A/B/2C:18-2,2C:29-2A/B/2C:18-2,2C:29-2A/B/2C:18-2
2C:29-2A/CONTEMPT,2C:29-2A/CONTEMPT,1,2C:29-2A/CONTEMPT,2C:29-2A/CONTEMPT,2C:29-2A/CONTEMPT
2C:29-2A/EW#11-9118,2C:29-2A/EW#11-9118,1,2C:29-2A/EW#11-9118,2C:29-2A/EW#11-9118,2C:29-2A/EW#11-9118
2C:29-2A1 / 2C:12-1B5A,2C:29-2A1 / 2C:12-1B5A,1,2C:29-2A1 / 2C:12-1B5A,2C:29-2A1 / 2C:12-1B5A,2C:29-2A1 / 2C:12-1B5A
2C:29-2A1 & 175-1A(1),2C:29-2A1 & 175-1A(1),1,2C:29-2A1 & 175-1A(1),2C:29-2A1 & 175-1A(1),2C:29-2A1 & 175-1A(1)
"2C:29-2A1,29-3B-4","2C:29-2A1,29-3B-4",1,"2C:29-2A1,29-3B-4","2C:29-2A1,29-3B-4","2C:29-2A1,29-3B-4"
2C:29-2A1(1),2C:29-2A1(1),1,2C:29-2A1(1),2C:29-2A1(1),2C:29-2A1(1)
2C:29-2A1/ 2C:35-10A1,2C:29-2A1/ 2C:35-10A1,1,2C:29-2A1/ 2C:35-10A1,2C:29-2A1/ 2C:35-10A1,2C:29-2A1/ 2C:35-10A1
2C:29-2A1/2A:10-1,2C:29-2A1/2A:10-1,1,2C:29-2A1/2A:10-1,2C:29-2A1/2A:10-1,2C:29-2A1/2A:10-1
2C:29-2A1/2C:33-2A2,2C:29-2A1/2C:33-2A2,1,2C:29-2A1/2C:33-2A2,2C:29-2A1/2C:33-2A2,2C:29-2A1/2C:33-2A2
2C:29-2A1/2C:35-10A1,2C:29-2A1/2C:35-10A1,1,2C:29-2A1/2C:35-10A1,2C:29-2A1/2C:35-10A1,2C:29-2A1/2C:35-10A1
2C:29-2A2 2C:29-1 2C:39-5D,2C:29-2A2 2C:29-1 2C:39-5D,1,2C:29-2A2 2C:29-1 2C:39-5D,2C:29-2A2 2C:29-1 2C:39-5D,2C:29-2A2 2C:29-1 2C:39-5D
2C:29-2A2/ 2C:29-1,2C:29-2A2/ 2C:29-1,1,2C:29-2A2/ 2C:29-1,2C:29-2A2/ 2C:29-1,2C:29-2A2/ 2C:29-1
2C:29-2A2/2C:29-1A,2C:29-2A2/2C:29-1A,1,2C:29-2A2/2C:29-1A,2C:29-2A2/2C:29-1A,2C:29-2A2/2C:29-1A
2C:29-2A3-29-1A,2C:29-2A3-29-1A,1,2C:29-2A3-29-1A,2C:29-2A3-29-1A,2C:29-2A3-29-1A
2C:29-2A3: 2C:18-3B,2C:29-2A3: 2C:18-3B,1,2C:29-2A3: 2C:18-3B,2C:29-2A3: 2C:18-3B,2C:29-2A3: 2C:18-3B
2C:29-2A3N,2C:29-2A3N,1,2C:29-2A3N,2C:29-2A3N,2C:29-2A3N
2C:29-2A6,2C:29-2A6,1,2C:29-2A6,2C:29-2A6,2C:29-2A6
2C:29-2A9(1),2C:29-2A9(1),1,2C:29-2A9(1),2C:29-2A9(1),2C:29-2A9(1)
2C:29-2A9(1) 2C:35-24 2C:12-1B(5)A,2C:29-2A9(1) 2C:35-24 2C:12-1B(5)A,1,2C:29-2A9(1) 2C:35-24 2C:12-1B(5)A,2C:29-2A9(1) 2C:35-24 2C:12-1B(5)A,2C:29-2A9(1) 2C:35-24 2C:12-1B(5)A
2C:29-2A9(3)(N),2C:29-2A9(3)(N),1,2C:29-2A9(3)(N),2C:29-2A9(3)(N),2C:29-2A9(3)(N)
2C:29-2A93),2C:29-2A93),1,2C:29-2A93),2C:29-2A93),2C:29-2A93)
2C:29-2A93)(A),2C:29-2A93)(A),1,2C:29-2A93)(A),2C:29-2A93)(A),2C:29-2A93)(A)
2C:29-2AA,2C:29-2AA,1,2C:29-2AA,2C:29-2AA,2C:29-2AA
2C:29-2AA(3)(A),2C:29-2AA(3)(A),1,2C:29-2AA(3)(A),2C:29-2AA(3)(A),2C:29-2AA(3)(A)
2C:29-2AX3,2C:29-2AX3,1,2C:29-2AX3,2C:29-2AX3,2C:29-2AX3
2C:29-2AZ,2C:29-2AZ,1,2C:29-2AZ,2C:29-2AZ,2C:29-2AZ
2C:29-2B / 2C:29-2A / 2C:35-5.3C,2C:29-2B / 2C:29-2A / 2C:35-5.3C,1,2C:29-2B / 2C:29-2A / 2C:35-5.3C,2C:29-2B / 2C:29-2A / 2C:35-5.3C,2C:29-2B / 2C:29-2A / 2C:35-5.3C
2C:29-2B / 2C:29-9,2C:29-2B / 2C:29-9,1,2C:29-2B / 2C:29-9,2C:29-2B / 2C:29-9,2C:29-2B / 2C:29-9
2C:29-2B / 2C:35-10-4,2C:29-2B / 2C:35-10-4,1,2C:29-2B / 2C:35-10-4,2C:29-2B / 2C:35-10-4,2C:29-2B / 2C:35-10-4
2C:29-2B & 29-2,2C:29-2B & 29-2,1,2C:29-2B & 29-2,2C:29-2B & 29-2,2C:29-2B & 29-2
2C:29-2B & 29-2A,2C:29-2B & 29-2A,1,2C:29-2B & 29-2A,2C:29-2B & 29-2A,2C:29-2B & 29-2A
2C:29-2B 39:4-96 39:4-67 39:4-96 39:4-97,2C:29-2B 39:4-96 39:4-67 39:4-96 39:4-97,1,2C:29-2B 39:4-96 39:4-67 39:4-96 39:4-97,2C:29-2B 39:4-96 39:4-67 39:4-96 39:4-97,2C:29-2B 39:4-96 39:4-67 39:4-96 39:4-97
2C:29-2B AND 29-2A,2C:29-2B AND 29-2A,1,2C:29-2B AND 29-2A,2C:29-2B AND 29-2A,2C:29-2B AND 29-2A
2C:29-2B AND 2C:29-2A(5)(B),2C:29-2B AND 2C:29-2A(5)(B),1,2C:29-2B AND 2C:29-2A(5)(B),2C:29-2B AND 2C:29-2A(5)(B),2C:29-2B AND 2C:29-2A(5)(B)
2C:29-2B AND 2C:33-1A,2C:29-2B AND 2C:33-1A,1,2C:29-2B AND 2C:33-1A,2C:29-2B AND 2C:33-1A,2C:29-2B AND 2C:33-1A
2C:29-2B ELUDING POLICE 2ND DEGREE,2C:29-2B ELUDING POLICE 2ND DEGREE,1,2C:29-2B ELUDING POLICE 2ND DEGREE,2C:29-2B ELUDING POLICE 2ND DEGREE,2C:29-2B ELUDING POLICE 2ND DEGREE
2C:29-2B ELUDING POLICE WITH MOTOR-VEHICLE,2C:29-2B ELUDING POLICE WITH MOTOR-VEHICLE,1,2C:29-2B ELUDING POLICE WITH MOTOR-VEHICLE,2C:29-2B ELUDING POLICE WITH MOTOR-VEHICLE,2C:29-2B ELUDING POLICE WITH MOTOR-VEHICLE
2C:29-2B ELUDING; 2C:29-2A RESISTING; 2C:29-3B(4) HINDERING; 2C:36-2 POSS DRUG PARA; 39:4-50 DWI,2C:29-2B ELUDING; 2C:29-2A RESISTING; 2C:29-3B(4) HINDERING; 2C:36-2 POSS DRUG PARA; 39:4-50 DWI,1,2C:29-2B ELUDING; 2C:29-2A RESISTING; 2C:29-3B(4) HINDERING; 2C:36-2 POSS DRUG PARA; 39:4-50 DWI,2C:29-2B ELUDING; 2C:29-2A RESISTING; 2C:29-3B(4) HINDERING; 2C:36-2 POSS DRUG PARA; 39:4-50 DWI,2C:29-2B ELUDING; 2C:29-2A RESISTING; 2C:29-3B(4) HINDERING; 2C:36-2 POSS DRUG PARA; 39:4-50 DWI
2C:29-2B ELUDING/ 2C:29-2A(1) RESISTING,2C:29-2B ELUDING/ 2C:29-2A(1) RESISTING,1,2C:29-2B ELUDING/ 2C:29-2A(1) RESISTING,2C:29-2B ELUDING/ 2C:29-2A(1) RESISTING,2C:29-2B ELUDING/ 2C:29-2A(1) RESISTING
2C:29-2B ILLEGIBLE,2C:29-2B ILLEGIBLE,1,2C:29-2B ILLEGIBLE,2C:29-2B ILLEGIBLE,2C:29-2B ILLEGIBLE
2C:29-2B; 2C:29-1B; 2C:29-2A(3)(A),2C:29-2B; 2C:29-1B; 2C:29-2A(3)(A),1,2C:29-2B; 2C:29-1B; 2C:29-2A(3)(A),2C:29-2B; 2C:29-1B; 2C:29-2A(3)(A),2C:29-2B; 2C:29-1B; 2C:29-2A(3)(A)
2C:29-2B; 2C:36-2; 2C:20-11B(1),2C:29-2B; 2C:36-2; 2C:20-11B(1),1,2C:29-2B; 2C:36-2; 2C:20-11B(1),2C:29-2B; 2C:36-2; 2C:20-11B(1),2C:29-2B; 2C:36-2; 2C:20-11B(1)
2C:29-2B(3)(A),2C:29-2B(3)(A),1,2C:29-2B(3)(A),2C:29-2B(3)(A),2C:29-2B(3)(A)
2C:29-2B/ 2C:29-2A/ 12-1B5,2C:29-2B/ 2C:29-2A/ 12-1B5,1,2C:29-2B/ 2C:29-2A/ 12-1B5,2C:29-2B/ 2C:29-2A/ 12-1B5,2C:29-2B/ 2C:29-2A/ 12-1B5
2C:29-2B/ 2C:29-2A3A,2C:29-2B/ 2C:29-2A3A,1,2C:29-2B/ 2C:29-2A3A,2C:29-2B/ 2C:29-2A3A,2C:29-2B/ 2C:29-2A3A
2C:29-2B/ 2C:29A(3)A,2C:29-2B/ 2C:29A(3)A,1,2C:29-2B/ 2C:29A(3)A,2C:29-2B/ 2C:29A(3)A,2C:29-2B/ 2C:29A(3)A
2C:29-2B/29-2/29-1/39-5D/29-9/39:4-50,2C:29-2B/29-2/29-1/39-5D/29-9/39:4-50,1,2C:29-2B/29-2/29-1/39-5D/29-9/39:4-50,2C:29-2B/29-2/29-1/39-5D/29-9/39:4-50,2C:29-2B/29-2/29-1/39-5D/29-9/39:4-50
2C:29-2B/2C:15-1,2C:29-2B/2C:15-1,1,2C:29-2B/2C:15-1,2C:29-2B/2C:15-1,2C:29-2B/2C:15-1
2C:29-2B/2C:2 9-2A (1),2C:29-2B/2C:2 9-2A (1),1,2C:29-2B/2C:2 9-2A (1),2C:29-2B/2C:2 9-2A (1),2C:29-2B/2C:2 9-2A (1)
2C:29-2B/2C:29-1A,2C:29-2B/2C:29-1A,1,2C:29-2B/2C:29-1A,2C:29-2B/2C:29-1A,2C:29-2B/2C:29-1A
2C:29-2B/2C:29-2A(2),2C:29-2B/2C:29-2A(2),1,2C:29-2B/2C:29-2A(2),2C:29-2B/2C:29-2A(2),2C:29-2B/2C:29-2A(2)
2C:29-2B/2C:29-2A(3)(B),2C:29-2B/2C:29-2A(3)(B),1,2C:29-2B/2C:29-2A(3)(B),2C:29-2B/2C:29-2A(3)(B),2C:29-2B/2C:29-2A(3)(B)
2C:29-2B/2C:29-2A(3)/2C:29-2A(2),2C:29-2B/2C:29-2A(3)/2C:29-2A(2),1,2C:29-2B/2C:29-2A(3)/2C:29-2A(2),2C:29-2B/2C:29-2A(3)/2C:29-2A(2),2C:29-2B/2C:29-2A(3)/2C:29-2A(2)
2C:29-2B/2C:29-2A3/2C:12-1B5/2C:39-4D/2C:39-5D,2C:29-2B/2C:29-2A3/2C:12-1B5/2C:39-4D/2C:39-5D,1,2C:29-2B/2C:29-2A3/2C:12-1B5/2C:39-4D/2C:39-5D,2C:29-2B/2C:29-2A3/2C:12-1B5/2C:39-4D/2C:39-5D,2C:29-2B/2C:29-2A3/2C:12-1B5/2C:39-4D/2C:39-5D
2C:29-2B/2C:35-5,2C:29-2B/2C:35-5,1,2C:29-2B/2C:35-5,2C:29-2B/2C:35-5,2C:29-2B/2C:35-5
2C:29-2B/39:4-50,2C:29-2B/39:4-50,1,2C:29-2B/39:4-50,2C:29-2B/39:4-50,2C:29-2B/39:4-50
2C:29-2B1/2C:28-2,2C:29-2B1/2C:28-2,1,2C:29-2B1/2C:28-2,2C:29-2B1/2C:28-2,2C:29-2B1/2C:28-2
2C:29-2B/3,2C:29-2B3,1,2C:29-2B3,2C:29-2B3,2C:29-2B3
2C:292B3,2C:29-2B3,1,2C:29-2B3,2C:29-2B3,2C:29-2B3
2C:29-2C:12C:39-4D,2C:29-2C:12C:39-4D,1,2C:29-2C:12C:39-4D,2C:29-2C:12C:39-4D,2C:29-2C:12C:39-4D
2C:29-2C(2),2C:29-2C(2),1,2C:29-2C(2),2C:29-2C(2),2C:29-2C(2)
2C:29-2C(3),2C:29-2C(3),1,2C:29-2C(3),2C:29-2C(3),2C:29-2C(3)
2C:29-2C(3)A,2C:29-2C(3)A,1,2C:29-2C(3)A,2C:29-2C(3)A,2C:29-2C(3)A
2C:29-2D(3)1,2C:29-2D(3)1,1,2C:29-2D(3)1,2C:29-2D(3)1,2C:29-2D(3)1
2C:29-2H/39:4-50,2C:29-2H/39:4-50,1,2C:29-2H/39:4-50,2C:29-2H/39:4-50,2C:29-2H/39:4-50
2C:29-2ILLEGIBLE,2C:29-2ILLEGIBLE,1,2C:29-2ILLEGIBLE,2C:29-2ILLEGIBLE,2C:29-2ILLEGIBLE
2C:29-2ILLEGIBLE(3)(A),2C:29-2ILLEGIBLE(3)(A),1,2C:29-2ILLEGIBLE(3)(A),2C:29-2ILLEGIBLE(3)(A),2C:29-2ILLEGIBLE(3)(A)
2C:29-2ILLEGILBE,2C:29-2ILLEGILBE,1,2C:29-2ILLEGILBE,2C:29-2ILLEGILBE,2C:29-2ILLEGILBE
2C:29-2M(3),2C:29-2M(3),1,2C:29-2M(3),2C:29-2M(3),2C:29-2M(3)
2C:29-3 / 2C:29-5,2C:29-3 / 2C:29-5,1,2C:29-3 / 2C:29-5,2C:29-3 / 2C:29-5,2C:29-3 / 2C:29-5
2C:29-3 2C:20-7 2C:29-1 2C:29-2,2C:29-3 2C:20-7 2C:29-1 2C:29-2,1,2C:29-3 2C:20-7 2C:29-1 2C:29-2,2C:29-3 2C:20-7 2C:29-1 2C:29-2,2C:29-3 2C:20-7 2C:29-1 2C:29-2
2C:29-3 2C:29-1,2C:29-3 2C:29-1,1,2C:29-3 2C:29-1,2C:29-3 2C:29-1,2C:29-3 2C:29-1
2C:29-3 2C:29-2 2C:20-7 2C:5-5 2C:29-9,2C:29-3 2C:29-2 2C:20-7 2C:5-5 2C:29-9,1,2C:29-3 2C:29-2 2C:20-7 2C:5-5 2C:29-9,2C:29-3 2C:29-2 2C:20-7 2C:5-5 2C:29-9,2C:29-3 2C:29-2 2C:20-7 2C:5-5 2C:29-9
2C:29-3 HINDER,2C:29-3 HINDER,1,2C:29-3 HINDER,2C:29-3 HINDER,2C:29-3 HINDER
2C:29-3 HINDER APPREHENSION/PROSECUTION OF SELF-FALSE INFO,2C:29-3 HINDER APPREHENSION/PROSECUTION OF SELF-FALSE INFO,1,2C:29-3 HINDER APPREHENSION/PROSECUTION OF SELF-FALSE INFO,2C:29-3 HINDER APPREHENSION/PROSECUTION OF SELF-FALSE INFO,2C:29-3 HINDER APPREHENSION/PROSECUTION OF SELF-FALSE INFO
2C:29-3.1B,2C:29-3.1B,1,2C:29-3.1B,2C:29-3.1B,2C:29-3.1B
2C:29-3.7B,2C:29-3.7B,1,2C:29-3.7B,2C:29-3.7B,2C:29-3.7B
2C:29-3(1)B,2C:29-3(1)B,1,2C:29-3(1)B,2C:29-3(1)B,2C:29-3(1)B
2C:29-3(B)4 & 2C:29-2(A)2,2C:29-3(B)4 & 2C:29-2(A)2,1,2C:29-3(B)4 & 2C:29-2(A)2,2C:29-3(B)4 & 2C:29-2(A)2,2C:29-3(B)4 & 2C:29-2(A)2
2C:29-3/2C:18-3/2C:29-1,2C:29-3/2C:18-3/2C:29-1,1,2C:29-3/2C:18-3/2C:29-1,2C:29-3/2C:18-3/2C:29-1,2C:29-3/2C:18-3/2C:29-1
2C:29-30(2); 2C:35-10A(4),2C:29-30(2); 2C:35-10A(4),1,2C:29-30(2); 2C:35-10A(4),2C:29-30(2); 2C:35-10A(4),2C:29-30(2); 2C:35-10A(4)
2C:29-30(4),2C:29-30(4),1,2C:29-30(4),2C:29-30(4),2C:29-30(4)
2C:29-31B,2C:29-31B,1,2C:29-31B,2C:29-31B,2C:29-31B
2C:29-32A(3) RESISTING ARREST - 3RD DEGREE,2C:29-32A(3) RESISTING ARREST - 3RD DEGREE,1,2C:29-32A(3) RESISTING ARREST - 3RD DEGREE,2C:29-32A(3) RESISTING ARREST - 3RD DEGREE,2C:29-32A(3) RESISTING ARREST - 3RD DEGREE
2C:29-33-2A(1),2C:29-33-2A(1),1,2C:29-33-2A(1),2C:29-33-2A(1),2C:29-33-2A(1)
2C:29-35(4),2C:29-35(4),1,2C:29-35(4),2C:29-35(4),2C:29-35(4)
2C:29-36 (4),2C:29-36 (4),1,2C:29-36 (4),2C:29-36 (4),2C:29-36 (4)
2C:29-36(A),2C:29-36(A),1,2C:29-36(A),2C:29-36(A),2C:29-36(A)
2C:29-38(4),2C:29-38(4),1,2C:29-38(4),2C:29-38(4),2C:29-38(4)
2C:29-3A / 39:4-50,2C:29-3A / 39:4-50,1,2C:29-3A / 39:4-50,2C:29-3A / 39:4-50,2C:29-3A / 39:4-50
2C:29-3A FALSE INFO LEO,2C:29-3A FALSE INFO LEO,1,2C:29-3A FALSE INFO LEO,2C:29-3A FALSE INFO LEO,2C:29-3A FALSE INFO LEO
2C:29-3A(2),2C:29-3A(2),1,2C:29-3A(2),2C:29-3A(2),2C:29-3A(2)
2C:29-3A(3)(B),2C:29-3A(3)(B),1,2C:29-3A(3)(B),2C:29-3A(3)(B),2C:29-3A(3)(B)
2C:29-3A(3)A,2C:29-3A(3)A,1,2C:29-3A(3)A,2C:29-3A(3)A,2C:29-3A(3)A
2C:29-3A(7) HINDERING APPREHENSION BY GIVING FALSE NAME,2C:29-3A(7) HINDERING APPREHENSION BY GIVING FALSE NAME,1,2C:29-3A(7) HINDERING APPREHENSION BY GIVING FALSE NAME,2C:29-3A(7) HINDERING APPREHENSION BY GIVING FALSE NAME,2C:29-3A(7) HINDERING APPREHENSION BY GIVING FALSE NAME
2C:29-3A(7)-HINDERING,2C:29-3A(7)-HINDERING,1,2C:29-3A(7)-HINDERING,2C:29-3A(7)-HINDERING,2C:29-3A(7)-HINDERING
2C:29-3A1,2C:29-3A1,1,2C:29-3A1,2C:29-3A1,2C:29-3A1
2C:29-3B (1)(A),2C:29-3B (1)(A),1,2C:29-3B (1)(A),2C:29-3B (1)(A),2C:29-3B (1)(A)
2C:29-3B (4) HINDERING,2C:29-3B (4) HINDERING,1,2C:29-3B (4) HINDERING,2C:29-3B (4) HINDERING,2C:29-3B (4) HINDERING
2C:29-3B(1) / 2C:29-2A(3)(A),2C:29-3B(1) / 2C:29-2A(3)(A),1,2C:29-3B(1) / 2C:29-2A(3)(A),2C:29-3B(1) / 2C:29-2A(3)(A),2C:29-3B(1) / 2C:29-2A(3)(A)
2C:29-3B(1) HINDER APPREHENSION -ONESELF-SUPPRESSION,2C:29-3B(1) HINDER APPREHENSION -ONESELF-SUPPRESSION,1,2C:29-3B(1) HINDER APPREHENSION -ONESELF-SUPPRESSION,2C:29-3B(1) HINDER APPREHENSION -ONESELF-SUPPRESSION,2C:29-3B(1) HINDER APPREHENSION -ONESELF-SUPPRESSION
2C:29-3B(1) HINDERING APPREHENSION,2C:29-3B(1) HINDERING APPREHENSION,1,2C:29-3B(1) HINDERING APPREHENSION,2C:29-3B(1) HINDERING APPREHENSION,2C:29-3B(1) HINDERING APPREHENSION
